citizen_id,first_name,last_name,aadhaar_no,phone,email,address,district_id,language_pref,created_at,gender
32,Simranjit,Sharma,771093248086,6317127484,simranjit.sharma31@gmail.com,"House 242, Old City, Gurdaspur",7,Hindi,2024-10-09 10:00:00,Male
33,Parminder,Verma,821465840449,9278755886,parminder.verma32@gmail.com,"House 446, Near Bus Stand, Hoshiarpur",8,Hindi,2024-10-19 14:00:00,Other
34,Jasleen,Sohal,057662702895,6718702621,jasleen.sohal33@gmail.com,"House 174, Old City, Hoshiarpur",8,Hindi,2024-11-28 09:00:00,Female
35,Ekamjot,Gill,657809134316,6172400504,ekamjot.gill34@gmail.com,"House 221, Near Bus Stand, Mohali",6,Hindi,2024-09-28 14:00:00,Other
36,Sukhwinder,Sandhu,221969379237,8740748217,sukhwinder.sandhu35@gmail.com,"House 154, Sector 14, Mohali",6,English,2024-08-21 12:00:00,Male
37,Jasleen,Sidhu,136959440640,6974395339,jasleen.sidhu36@gmail.com,"House 387, Main Road, Bathinda",5,English,2024-11-17 18:00:00,Female
38,Amrit,Brar,095214562328,8884247451,amrit.brar37@gmail.com,"House 73, Old City, Hoshiarpur",8,Punjabi,2024-10-12 13:00:00,Female
39,Gurpreet,Randhawa,048175496513,9098593174,gurpreet.randhawa38@gmail.com,"House 72, Main Road, Gurdaspur",7,Punjabi,2024-06-04 15:00:00,Female
40,Gurpreet,Kaur,382675869261,9964053773,gurpreet.kaur39@gmail.com,"House 352, Sector 12, Mohali",6,Punjabi,2024-02-01 14:00:00,Female
41,Mandeep,Verma,713900532931,7933529042,mandeep.verma40@gmail.com,"House 129, Main Road, Amritsar",3,English,2024-12-04 08:00:00,Male
42,Harpreet,Singh,395024026811,9758917839,harpreet.singh41@gmail.com,"House 402, Sector 17, Patiala",1,English,2024-08-22 18:00:00,Male
43,Amrit,Singh,661771159212,8998569847,amrit.singh42@gmail.com,"House 221, Main Road, Faridkot",9,English,2024-12-01 18:00:00,Female
44,Fateh,Randhawa,367365766156,8452711116,fateh.randhawa43@gmail.com,"House 379, Near Bus Stand, Ludhiana",2,English,2024-10-11 08:00:00,Other
45,Sukhwinder,Dhaliwal,516560494519,7273158514,sukhwinder.dhaliwal44@gmail.com,"House 414, Main Road, Mansa",10,Punjabi,2024-11-07 18:00:00,Other
46,Ekamjot,Hundal,024455022961,7018366752,ekamjot.hundal45@gmail.com,"House 370, Main Road, Mohali",6,Hindi,2024-01-27 10:00:00,Male
47,Harpreet,Randhawa,014767976438,6561497840,harpreet.randhawa46@gmail.com,"House 307, Main Road, Jalandhar",4,Hindi,2024-04-14 12:00:00,Other
48,Jasleen,Randhawa,445107622683,8160607159,jasleen.randhawa47@gmail.com,"House 208, Sector 14, Gurdaspur",7,English,2024-02-28 14:00:00,Male
49,Amrit,Gill,975161369681,9453521818,amrit.gill48@gmail.com,"House 464, Sector 12, Faridkot",9,Punjabi,2024-11-26 10:00:00,Male
50,Jasleen,Kaur,243292127799,9995527177,jasleen.kaur49@gmail.com,"House 303, Sector 2, Bathinda",5,Hindi,2024-09-16 09:00:00,Female
51,Mandeep,Grewal,005411998679,6793597820,mandeep.grewal50@gmail.com,"House 416, Main Road, Hoshiarpur",8,Punjabi,2024-09-15 18:00:00,Female
52,Harpreet,Singh,778892554665,6515186449,harpreet.singh51@gmail.com,"House 42, Near Bus Stand, Amritsar",3,Hindi,2024-06-28 12:00:00,Male
53,Varinder,Hundal,291486528168,8054235733,varinder.hundal52@gmail.com,"House 40, Main Road, Amritsar",3,Punjabi,2024-09-16 20:00:00,Female
54,Simranjit,Sohal,059296222927,6653794738,simranjit.sohal53@gmail.com,"House 495, Near Bus Stand, Jalandhar",4,Hindi,2024-07-07 18:00:00,Other
55,Sukhwinder,Grewal,468862392407,8818141247,sukhwinder.grewal54@gmail.com,"House 426, Main Road, Faridkot",9,Punjabi,2024-04-23 15:00:00,Female
56,Fateh,Gill,606853615305,6522047277,fateh.gill55@gmail.com,"House 464, Main Road, Mansa",10,Punjabi,2024-05-11 11:00:00,Male
57,Ekamjot,Sharma,986143410369,9117980893,ekamjot.sharma56@gmail.com,"House 220, Sector 1, Amritsar",3,Hindi,2024-05-03 17:00:00,Other
58,Parminder,Sharma,851888880670,9540515319,parminder.sharma57@gmail.com,"House 23, Sector 12, Mohali",6,Punjabi,2024-11-25 10:00:00,Male
59,Ekamjot,Randhawa,722170430305,8868740345,ekamjot.randhawa58@gmail.com,"House 170, Main Road, Patiala",1,English,2024-07-07 14:00:00,Female
60,Fateh,Sidhu,652775841616,7845115447,fateh.sidhu59@gmail.com,"House 219, Old City, Mansa",10,English,2024-06-28 15:00:00,Female
